temperature,pressure,specific_volume,specific_internal_energy,specific_enthalpy,specific_entropy,temperature$uncertainty,pressure$uncertainty,specific_volume$uncertainty,specific_internal_energy$uncertainty,specific_enthalpy$uncertainty,specific_entropy$uncertainty,$citation
537.0899999999999,5000000.0,0.0012862,1148100.0,1154500.0,2920.7000000000003,0.0,0.0,0.00014424999999999996,574030.0,574735.0,1460.3000000000002,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
273.15,5000000.0,0.0009977,40.0,5030.0,0.1,0.0,0.0,9.49999999999996e-07,41785.0,41790.0,147.64999999999998,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
293.15,5000000.0,0.0009996,83610.0,88610.0,295.4,0.0,0.0,9.49999999999996e-07,41655.0,41670.0,137.55,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
313.15,5000000.0,0.0010057,166920.0,171950.0,570.5,0.0,0.0,3.049999999999993e-06,41655.0,41670.0,129.10000000000002,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
333.15,5000000.0,0.0010149,250290.0,255360.0,828.7,0.0,0.0,4.600000000000003e-06,41685.0,41705.0,121.79999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
353.15,5000000.0,0.0010267,333820.0,338960.0,1072.3,0.0,0.0,5.899999999999981e-06,41765.0,41800.0,115.54999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
373.15,5000000.0,0.001041,417650.0,422850.0,1303.3999999999999,0.0,0.0,7.150000000000038e-06,41915.0,41945.0,110.10000000000014,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
393.15,5000000.0,0.0010576,501910.0,507190.0,1523.6000000000001,0.0,0.0,8.29999999999993e-06,42130.0,42170.0,105.39999999999986,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
413.15,5000000.0,0.0010769,586800.0,592180.0,1734.3999999999999,0.0,0.0,9.650000000000045e-06,42445.0,42495.0,101.50000000000011,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
433.15,5000000.0,0.0010988,672550.0,678040.0,1937.4,0.0,0.0,1.0950000000000022e-05,42875.0,42930.0,98.19999999999982,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
453.15,5000000.0,0.001124,759470.0,765090.0,2133.7999999999997,0.0,0.0,1.2599999999999981e-05,43460.0,43525.0,95.65000000000009,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
473.15,5000000.0,0.0011531,847920.0,853680.0,2325.1,0.0,0.0,1.4550000000000001e-05,44225.0,44295.0,93.80000000000018,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
493.15,5000000.0,0.0011868,938390.0,944320.0,2512.7000000000003,0.0,0.0,1.6850000000000003e-05,45235.0,45320.0,92.79999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
513.15,5000000.0,0.0012268,1031599.9999999999,1037700.0,2698.3,0.0,0.0,1.9999999999999944e-05,46604.99999999994,46690.0,92.79999999999995,"Yunus A. Çengel and Michael A. Boles, Thermodynamics: An Engineering Approach, McGraw-Hill. Appendix 1, Table A-7. [https://www.slaythepe.com/uploads/7/2/3/9/72392189/appendix1_siunits_1.pdf]"
